point, temp, num 
강릉,23.8,55
강진군,25.4,49
강화,21.7,53
거제,22.6,59
거창,23.9,49
경주시,23.4,54
고산,21.8,65
고창,23.9,56
고창군,24.0,53
고흥,22.7,53
광양시,24.6,48
광주,23.8,50
구미,23.8,46
군산,22.8,53
금산,24.0,45
김해시,25.2,50
남원,23.4,49
남해,22.3,57
대관령,17.7,72
대구,23.6,55
대전,24.4,45
동두천,23.2,46
동해,19.5,76
목포,22.7,64
문경,23.0,55
밀양,24.1,44
백령도,17.7,71
보령,21.1,65
보성군,23.7,56
보은,23.2,50
봉화,22.6,50
부산,24.4,58
부안,23.8,45
부여,24.3,52
북강릉,20.4,64
북창원,24.3,54
북춘천,20.8,55
산청,24.6,50
상주,23.4,56
서귀포,24.1,55
서산,24.0,45
서울,23.9,45
성산,21.2,67
세종,22.9,44
속초,20.4,70
수원,23.7,32
순창군,23.9,45
순천,23.5,51
안동,23.9,47
양산시,25.1,49
양평,22.7,49
여수,22.9,56
영광군,23.3,57
영덕,21.0,61
영월,23.3,44
영주,23.2,48
영천,22.9,53
완도,23.6,57
울릉도,19.3,67
울산,21.5,59
울진,19.7,73
원주,22.9,49
의령군,25.1,46
의성,24.2,49
이천,22.6,52
인제,23.4,36
인천,21.8,59
임실,23.8,48
장수,23.3,44
장흥,23.8,55
전주,24.2,50
정선군,24.3,43
정읍,23.4,48
제주,22.6,62
제천,22.8,44
진도군,22.6,64
진주,23.9,46
창원,23.6,46
천안,23.2,47
철원,22.0,46
청송군,23.7,54
청주,23.9,47
추풍령,21.9,55
춘천,21.4,53
충주,23.5,57
태백,20.3,57
통영,23.2,68
파주,22.5,43
포항,21.3,72
함양군,24.6,38
합천,24.2,45
해남,24.6,49
홍성,23.1,43
홍천,23.2,34
흑산도,19.7,79
